#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,
1,USA,"104,111,747",,"1,132,254                                ",,"101,193,699",,"1,785,794","3,630","310,962","3,382","1,159,304,731","3,462,624","334,805,269 ",North America,,32960,,,"5,334",
2,India,"44,682,639",,"530,740                                ",,"44,150,057",,"1,842",698,"31,766",377,"914,981,222","650,477","1,406,631,776 ",Asia,,"312,6502",,,1,
3,France,"39,512,667",,"164,080                                ",,"39,243,647",,"104,940",869,"602,469","2,502","271,490,188","4,139,547","65,584,518 ",Europe,,24000,,,"1,600",
4,Germany,"37,739,472",,"165,441                                ",,"37,328,400","+3,200","245,631","1,281","449,903","1,972","122,332,384","1,458,359","83,883,596 ",Europe,,25071,,,"2,928",
5,Brazil,"36,809,608",,"696,809                                ",,"35,812,908",,"299,891","8,318","170,926","3,236","63,776,166","296,146","215,353,593 ",South America,,63093,,,"1,393",
6,Japan,"32,464,361","+44,729","67,639                                ",+251,"21,552,255","+7,388","10,844,467",522,"258,505",539,"90,589,390","721,340","125,584,838 ",Asia,,"41,8571",356,2,"86,352",
7,S. Korea,"30,149,601","+18,871","33,390                                ",+29,"29,620,729","+54,314","495,482",420,"587,369",650,"15,804,065","307,892","51,329,899 ",Asia,,"21,5373",368,0.6,"9,653",
8,Italy,"25,453,789",,"186,833                                ",,"25,014,986",,"251,970",205,"422,380","3,100","265,478,247","4,405,344","60,262,770 ",Europe,,23230,,,"4,181",
9,UK,"24,274,361",,"204,171                                ",,"24,003,215",,"66,975",146,"354,381","2,981","522,526,476","7,628,357","68,497,907 ",Europe,,33350,,,978,
10,Russia,"21,938,421","+6,941","394,984                                ",+40,"21,339,316","+3,612","204,121","2,300","150,463","2,709","273,400,000","1,875,095","145,805,947 ",Europe,,73691,48,0.3,"1,400",
11,Turkey,"17,042,722",,"101,492                                ",,N/A,N/A,N/A,,"199,186","1,186","162,743,369","1,902,052","85,561,976 ",Asia,,58431,,,"1,819",
12,Spain,"13,731,478",,"118,434                                ",,"13,557,699",,"55,345",231,"293,915","2,535","471,036,328","10,082,298","46,719,142 ",Europe,,33940,,,"1,185",
13,Vietnam,"11,526,395",,"43,186                                ",,"10,612,438",,"870,771",2,"116,483",436,"85,826,548","867,342","98,953,541 ",Asia,,"92,2911",,,"8,800",
14,Australia,"11,295,446",,"18,615                                ",,"11,235,771",,"41,060",49,"433,294",714,"78,835,048","3,024,116","26,068,792 ",Australia/Oceania,,"21,4000",,,"1,575",
15,Argentina,"10,032,709",,"130,394                                ",,"9,862,576","+5,855","39,739",363,"218,054","2,834","35,716,069","776,264","46,010,234 ",South America,,53531,,,864,
16,Taiwan,"9,483,267","+27,350","16,246                                ",+22,"9,056,267","+17,284","410,754",,"396,979",680,"30,092,110","1,259,685","23,888,595 ",Asia,,"31,4701","1,145",0.9,"17,195",
17,Netherlands,"8,581,421",,"22,989                                ",,"8,545,357","+1,219","13,075",53,"498,588","1,336","25,984,435","1,509,718","17,211,447 ",Europe,,27491,,,760,
18,Iran,"7,564,046",,"144,744                                ",,"7,337,379",,"81,923",218,"87,931","1,683","54,420,785","632,632","86,022,837 ",Asia,,115942,,,952,
19,Mexico,"7,358,593",,"332,087                                ",,"6,592,536",,"433,970","4,798","55,932","2,524","19,331,506","146,938","131,562,772 ",North America,,183967,,,"3,299",
20,Indonesia,"6,729,408",,"160,802                                ",,"6,564,136",,"4,470","2,771","24,108",576,"114,158,919","408,975","279,134,505 ",Asia,,"411,7362",,,16,
21,Poland,"6,378,299",,"118,715                                ",,"5,335,940",,"923,644",696,"169,007","3,146","38,105,333","1,009,686","37,739,785 ",Europe,,63181,,,"24,474",
22,Colombia,"6,356,309",,"142,486                                ",,"6,179,501",,"34,322",342,"123,393","2,766","36,951,507","717,327","51,512,762 ",South America,,83621,,,666,
23,Austria,"5,772,280",,"21,661                                ",,"5,723,204",,"27,415",36,"636,645","2,389","211,273,524","23,302,116","9,066,710 ",Europe,,24190,,,"3,024",
24,Greece,"5,708,301",,"35,630                                ",,"5,648,505",,"24,166",115,"553,310","3,454","102,228,365","9,909,078","10,316,637 ",Europe,,22900,,,"2,342",
25,Portugal,"5,563,265",,"26,002                                ",,"5,532,061",+107,"5,202",61,"548,615","2,564","45,904,344","4,526,801","10,140,570 ",Europe,,23900,,,513,
26,Ukraine,"5,370,131",,"111,020                                ",,"5,252,071",+424,"7,040",,"124,331","2,570","32,603,805","754,855","43,192,122 ",Europe,,83891,,,163,
27,Chile,"5,115,130",,"63,764                                ",,"5,045,568",,"5,798",109,"265,718","3,312","48,100,468","2,498,700","19,250,195 ",South America,,43020,,,301,
28,Malaysia,"5,035,871",,"36,940                                ",,"4,989,435",,"9,496",17,"151,769","1,113","67,629,870","2,038,206","33,181,072 ",Asia,,78980,,,286,
29,Israel,"4,784,570",,"12,170                                ",,"4,766,268",,"6,132",57,"513,036","1,305","41,373,364","4,436,346","9,326,000 ",Asia,,27660,,,658,
30,DPRK,"4,772,813",,74                                ,,"4,772,739",,0,,"183,636",3,,,"25,990,679 ",Asia,,"5351,225",,,,
