Symbol,LTP,% Change,Open,High,Low,Qty.,PClose,Diff.,,

ACLBSL,833.00,-0.95,854.00,824.20,854.00,"1,126",,
ADBL,305.10,-0.94,310.00,305.10,308.00,"37,956",,
ADBLD83,890.00,0.45,890.00,890.00,890.00,10,,
ADLB,"1,317.60",9.99,"1,317.60","1,221.80","1,221.80",90,,
AHPC,344.00,-1.99,352.00,340.00,344.00,"84,498",,
AIL,523.00,-2.24,544.00,511.00,524.30,"17,050",,
AKBSL,"1,277.00",-1.94,"1,300.00","1,277.00","1,280.00","1,002",,
AKJCL,253.00,1.2,258.00,246.00,247.00,"269,117",,
AKPL,420.00,-1.64,428.00,416.30,423.00,"76,745",,
ALBSL,"1,037.00",-0.77,"1,040.00","1,003.70","1,024.10","1,474",,
ALICL,705.00,-0.7,722.00,696.00,696.00,"42,877",,
API,291.00,-1.02,297.00,286.00,289.00,"189,275",,
AVYAN,740.00,-0.74,760.00,733.80,745.50,"4,200",,
BARUN,278.90,-0.04,284.00,270.10,284.00,"39,512",,
BBC,"3,450.00",-1.29,"3,565.00","3,431.00","3,431.00",215,,
BFC,358.00,-1.62,365.00,354.00,363.00,"16,455",,
BHDC,415.20,2.01,426.00,398.90,407.00,"12,097",,
BHL,357.10,-2.96,367.90,346.60,360.70,"25,831",,
BHPL,534.80,10,534.80,487.00,495.90,"21,198",,
BNHC,434.10,-1.32,443.00,422.60,431.20,"2,082",,
BNT,"13,388.00",2.2,"13,620.00","13,172.00","13,360.00",90,,
BOKD86,765.00,0,765.00,765.00,765.00,165,,
BPCL,338.00,1.53,343.50,330.00,330.00,"40,319",,
CBBL,"1,203.00",-0.66,"1,212.00","1,199.00","1,209.00","12,026",,
CBL,228.50,-1.3,232.00,228.00,229.10,"64,629",,
CCBD88,845.00,0,845.00,840.10,840.10,75,,
CFCL,341.00,-2.57,350.20,338.10,345.00,"20,107",,
CGH,"1,350.00",-1.96,"1,379.90","1,324.00","1,351.00","6,899",,
CHCL,460.00,5.02,467.00,427.00,438.00,"99,840",,
CHDC,795.00,-1.73,815.00,783.00,815.00,"21,806",,
CHL,323.00,-2.12,331.00,322.00,328.00,"25,825",,
CIT,"2,102.00",-1.64,"2,150.00","2,095.00","2,102.00","7,485",,
CLBSL,901.60,-6.08,960.00,901.60,940.80,"5,613",,
CMF1,9.08,1.45,9.08,8.80,8.80,"31,135",,
CMF2,8.75,-1.35,8.75,8.61,8.75,"16,933",,
CORBL,323.00,-2.42,333.30,320.00,326.00,"5,052",,
CYCL,"1,895.00",0.25,"1,905.00","1,863.00","1,863.00",982,,
CZBIL,194.40,-1.32,198.00,194.30,196.00,"40,999",,
DDBL,981.10,-0.29,995.00,976.00,984.00,"9,939",,
DHPL,248.00,-0.8,253.00,240.10,245.00,"26,852",,
DLBS,"1,369.90",0.36,"1,369.90","1,345.00","1,345.00","1,215",,
DORDI,325.00,-0.31,335.00,316.00,320.00,"34,838",,
EBL,518.00,-0.13,525.00,512.20,519.00,"25,712",,
EDBL,345.00,-2.54,359.90,342.50,350.00,"18,104",,
EHPL,451.50,9.99,451.50,397.00,402.30,"16,338",,
ENL,681.00,-1.3,694.00,676.20,676.20,"1,114",,
FMDBL,685.00,-1.31,705.00,684.00,691.00,"19,342",,
FOWAD,"1,915.00",-1.14,"1,934.00","1,900.00","1,902.00","3,321",,
GBBL,368.20,-1.29,377.00,365.70,373.00,"30,204",,
GBD80/81,953.40,-0.69,953.40,953.40,953.40,10,,
GBILD86/87,750.00,0,750.00,750.00,750.00,100,,
GBLBS,636.00,-0.62,652.80,635.00,635.00,"2,580",,
GFCL,511.80,-0.45,520.00,505.00,505.10,"8,768",,
GHL,297.00,-0.34,305.00,287.00,292.10,"99,212",,
GIBF1,8.43,0.36,8.57,8.41,8.41,"6,000",,
GILB,"1,183.00",0.17,"1,198.00","1,160.00","1,166.00",520,,
GIMES1,10.15,0,10.15,9.95,9.95,"36,491",,
GLBSL,865.00,1.45,865.00,825.00,836.20,296,,
GLH,337.00,-5.07,356.00,335.00,347.90,"39,336",,
GMFBS,875.00,-4.68,899.70,852.20,899.70,"3,225",,
GMFIL,370.00,-0.48,378.00,365.00,370.00,"11,635",,
GRDBL,284.00,-0.7,295.00,280.40,280.40,"4,729",,
GUFL,583.00,-2.83,598.00,581.00,588.80,"34,963",,
GVL,467.00,-4.3,488.00,459.50,488.00,"65,442",,
HBL,306.00,-0.65,310.00,303.10,304.00,"12,986",,
HDHPC,248.00,-2.36,255.30,245.20,254.00,"261,267",,
HDL,"2,648.00",-1.01,"2,693.00","2,615.00","2,660.00","16,072",,
HEI,460.00,-2.11,476.90,460.00,461.00,"49,437",,
HEIP,319.00,-3.3,326.00,310.70,323.40,"10,230",,
HHL,307.00,-0.03,311.00,295.00,308.00,"37,312",,
HIDCL,209.00,-1.42,215.00,208.00,212.00,"151,096",,
HIDCLP,108.00,-6.09,114.00,106.20,112.70,"508,443",,
HPPL,348.00,-1.14,361.00,344.00,359.00,"61,460",,
HURJA,410.00,0,443.40,406.00,418.00,"221,609",,
ICFC,479.80,-1.28,488.00,471.00,483.00,"28,819",,
IGI,516.00,6.39,525.90,480.00,480.00,"198,658",,
ILBS,"1,005.00",-1.08,"1,014.00",995.70,996.00,"1,285",,
JALPA,"3,435.00",0.82,"3,462.00","3,393.00","3,420.00","1,642",,
JBBL,304.20,-1.87,311.00,304.00,305.40,"43,287",,
JBLB,"2,850.00",0.18,"2,875.00","2,845.00","2,846.00","5,044",,
JFL,416.70,-2.39,429.00,416.10,419.00,"9,595",,
JOSHI,263.90,4.31,272.00,248.00,250.00,"122,581",,
JSLBB,"1,616.00",-1.82,"1,670.00","1,581.80","1,614.00","1,051",,
KBL,195.00,-1.07,199.00,194.00,197.00,"172,680",,
KBLD86,864.40,-3.96,882.00,864.40,882.00,200,,
KDBY,8.78,1.15,8.89,8.51,8.51,"5,700",,
KEF,9.00,0,9.10,8.71,8.82,"17,501",,
KKHC,257.00,-1.91,264.10,253.90,262.00,"15,345",,
KLBS,"1,384.00",-0.44,"1,397.00","1,370.00","1,370.20",950,,
KLBSL,862.00,0,877.00,862.00,865.00,128,,
KMCDB,"1,020.00",-3.23,"1,050.00","1,015.00","1,050.00","1,489",,
KPCL,392.00,-1.75,402.00,390.00,400.00,"4,457",,
KRBL,299.00,-2.86,304.50,298.00,301.70,"13,271",,
KSBBL,335.30,-1.09,345.00,333.00,338.00,"40,166",,
LBBL,366.20,-2.84,384.40,366.00,384.40,"32,567",,
LBL,199.30,-0.25,202.00,198.60,200.00,"24,005",,
LEC,296.00,-2.92,303.00,290.00,300.00,"28,402",,
LEMF,9.60,1.05,9.60,9.42,9.50,"42,650",,
LGIL,462.20,10,462.20,428.60,428.60,907,,
LICN,"1,539.30",-0.63,"1,574.90","1,519.00","1,574.90","10,343",,
LLBS,"1,171.00",1.12,"1,179.00","1,135.20","1,135.20","1,030",,
LUK,8.72,-1.8,8.73,8.72,8.73,"12,110",,
